Year,Population_of_England_millions,Total_Arable_and_Sown_Acreage,Wheat_Bushels_per_Acre,Rye_Bushels_per_Acre,Barley_Bushels_per_Acre,Oats_Bushels_per_Acre,Pulses_Bushels_per_Acre,Wheat_Million_Bushels,Rye_Million_Bushels,Barley_Million_Bushels,Oats_Million_Bushels,Pulses_Million_Bushels,Cattle_Million,Sheep_Million,Pigs_Million,Milk_Million_Gals,Beef_Million_Lbs,Veal_Million_Lbs,Mutton_Million_Lbs,Pork_Million_Lbs,Wool_Million_Lbs,Hides_Million_Lbs,Hay_Million_Tons,Arable_Output,Pastoral_Output,Total_Agricultural_Output,Current_Price_Arable_Output_Percent,Current_Price_Livestock_Output_Percent,Constant_Price_Arable_Output_Percent,Constant_Price_Livestock_Output_Percent,Tin_Output,Iron_Output,Coal_Output,Wool_Textile_Output,Leather_Output,Foodstuffs_Output,Construction_Output,Printed_Books_Output,Metal_and_Mining_Output,Textiles_and_Leather_Output,Other_Industries_Output,Total_Industry_Output,Government_Services_Output,Trade_and_Transport_Output,Financial_Services_Output,Housing_and_Domestic_Services_Output,Total_Services_Output,England_Real_GDP_Agriculture,England_Real_GDP_Industry,England_Real_GDP_Services,England_Real_GDP,England_Nominal_GDP_mn_P,Price_Index_Agriculture_England,Price_Index_Industry_England,Price_Index_Services_England,Price_Index_GDP_Deflator_England,England_Population_mn,Nom_GDP_per_capita_England,Real_GDP_per_capita_England,GDP_deflator_market_prices,GDP_deflator_factor_cost,Total_Coin_mn_GBP,Total_tax_revenue_000_GBP,Average_weekly_earnings_GBP,Consumer_price_index,Annual_inflation_rate,Farm_wage_rates_GBP,Coal_mining_wages_GBP,Craftsmen_wages_GBP,Labourer_wages_GBP,Average_male_wage_pence_per_day_England,Real_consumtion_earnings,Growth_consumption_earnings,Work_days_England,Annual_average_working_hours_England,Real_consumption_earnings_Growth_GB,Net_Emigration_England_000s,Sacks_of_Wool_Thousands,Total_doth_equivalent,Decline_in_export_volume,English_export_volumes,Consumer_price_inflation,Filtered_Log_of_Real_GDP_Hodrick_Prescott,Average_Weekly_Earning_UK,Average_Weekly_Work_Hours,Trade_Volumes_in_UK
1270,4.36490315276899,12.5213719127847,7.45334898675947,9.20046687582635,11.4388729872478,11.191147549843,1.82875802042775,16.4427389122156,7.11038692878969,14.0817120042857,23.070024109823,0.269116604442253,1.35025897476995,15.3690606758854,0.660998069271736,41.954475287495,10.5320200032056,1.95954352551727,87.9110270660642,20.7288994523616,22.411198814791,6.48233190319656,0.117318729847932,77.0458346092076,55.4406344536213,64.5967636871982,57.4807591432173,42.5192408567827,67.30,32.70,,,,32.6213556378193,48.333141385994,10.0138506206986,15.8650965746221,,,38.2381292869252,10.5162346746968,28.1518407544383,1.46809140111776,4.10650551261692,71.136981731395,84.0082172592888,37.0051582936297,64.5967636871982,28.1518407544383,37.0051582936297,40.5819875530821,4.44054600726009,17.7890792185881,15.3468177332107,16.6871319728248,16.5975828350885,4.36,1.01,805.92,0.13,0.14,,15,0.03,0.13,-2.09,1.22,,2.982,,1.795,28.87,-2.39,,2262,-2.39,,,,,,-2.09,-1.08,0.029,45.04,
1271,4.37175053022946,12.5251907156376,6.72806089296449,11.5045794569223,13.0163347916531,10.5141483260259,1.57858889656644,14.903159546709,8.86402238674489,16.0334585826087,21.7045450150958,0.234602795865709,1.36859847443592,14.7125461962495,0.75529927728569,42.5243097414019,10.6750681006002,1.9882021214283,84.1557642425473,23.6861853356792,21.7038159011011,6.39543562881425,0.114153485268038,76.2273856002568,54.876178588279,63.9227709036326,61.6015503197052,38.3984496802948,67.40,32.60,,,,30.9339366896839,47.6852310385517,9.92491280444031,15.8873869732515,,,36.9223221090859,10.4656297394229,27.3825613716395,2.67086507914195,4.09650089731158,71.638474847253,84.1400039114142,37.4099150744177,63.9227709036326,27.3825613716395,37.4099150744177,40.1602975802227,4.79030037511838,20.6842705239543,14.957209489711,17.621448838013,18.0928760751367,4.37,1.09,796.3,0.14,0.16,,15,0.03,0.16,26.09,1.26,,3.099,1.475,1.806,23.04,-20.2,,2260,-20.2,,,,,,26.09,-1.90,0.030,45.01,
1272,4.37860864941235,12.5290155091811,9.77958705324911,11.5339042212584,12.2110648712247,9.00905198806658,0.678903303250274,21.7505522637672,8.859455690486,15.0507652260073,18.6233990212661,0.101886534897485,1.35528196595644,14.2371361725394,0.829593638054749,42.1105467993609,10.5711993344603,1.97088271249005,81.4364189069254,26.0160564893969,21.2443666545834,6.29790207553954,0.114362917042992,87.4305638203186,54.342541124477,69.0288772895285,65.4144431139329,34.5855568860671,70.20,29.80,,,,29.8379484359724,46.9580077043098,10.7345211679086,15.9097123396151,,,35.9581628604022,10.9853544094127,27.7228613007007,2.67086507914195,4.20276807001361,72.1435033302172,84.2719973019069,37.5129543896695,69.0288772895285,27.7228613007007,37.5129543896695,41.6677400416934,4.96371495091105,23.4805873708973,13.3614223721834,14.3485677321206,18.0696055232065,4.38,1.13,824.89,0.14,0.16,,25,0.03,0.17,5.06,1.23,,1.917,1.041,1.532,18.6,-19.26,,2259,-19.26,,,,,,5.06,2.02,0.025,44.99,
1273,4.38547752716858,12.532846302813,6.89581902351981,6.19299582974846,11.499594160765,10.0958211992418,1.06881118018489,15.3990025416904,4.74237528964901,14.1825509155191,20.8989699991574,0.16196458328011,1.35311106848428,14.2919490441713,0.829593638054749,42.0430939136188,10.5542663341774,1.9697504423337,81.7499485326599,26.0160564893969,21.5689598631114,6.29285078186278,0.113075358352575,71.2639626888014,54.5958204036758,61.40283319443,55.539520037458,44.460479962542,65.30,34.70,,,,30.6122458071785,46.9203445770422,9.56359192131708,15.9320727285679,,,36.4421941596902,10.2480120015523,26.8562665633298,2.67086507914195,4.09513507146607,72.6520921035022,84.4041977550847,37.5535489977083,61.40283319443,26.8562665633298,37.5535489977083,39.3025966760708,4.42118442649845,19.6728397437458,14.8825354498928,15.6670588132286,17.0631485225877,4.39,1,776.85,0.13,0.15,,26,0.03,0.14,-17.02,1.3,,2.544,,1.753,25.65,37.9,,2258,37.9,,,,,,-17.02,-3.55,0.029,44.96,
1274,4.39235718037552,12.536683105946,6.32574388463874,9.84542779621387,10.4837299757403,10.042227160082,3.88876201940027,14.1830933670827,7.51602014162458,12.9376296439435,20.8169336473989,0.594985955057006,1.30701815174743,14.3388449612391,0.810844810869727,40.6109211435808,10.1947415836299,1.90460981714991,82.0181931782877,25.4280932688746,21.8833329594965,6.23520224700876,0.114156392167046,69.6337128097315,54.3281491053996,60.4875788628667,58.162171661738,41.837828338262,65.70,34.30,,,,31.3621637220133,46.4905093221672,9.43581867578968,15.9544681950513,,,36.7703645645804,10.17278520177,26.9874802858713,2.75930432017314,4.09607900950318,73.1642662660237,84.5366055957742,37.6508917379342,60.4875788628667,26.9874802858713,37.6508917379342,39.1564983976887,4.69177189352486,21.9508339032917,13.73164697368,16.910093578209,18.175016994978,4.39,1.06,772.75,0.14,0.16,,28,0.03,0.16,13.59,1.31,,2.703,1.6,1.818,23.42,-8.69,,2256,-8.69,,,,,,13.59,-3.59,0.030,44.93,
1275,4.39924762593698,12.5405259280074,11.2604213950406,9.35976568756053,17.0685100418694,9.39313864205216,8.88434231134219,25.3490862568968,7.12312006697052,21.0766608195009,19.4984927806053,1.37234587561516,1.31011508230385,14.3388449612391,0.804477752583111,40.7071472001553,10.21889764197,1.91108711863561,82.0181931782877,25.2284223210064,22.12693221322,6.23763592475451,0.113245632632308,103.646708976718,54.4692916287971,76.8682188942614,67.216065746298,32.783934253702,73.30,26.70,,,,31.9432549365869,46.5086551518362,12.0099434564831,15.9768987940924,,,37.1502096029079,11.8125019100633,29.7647889703676,2.95387065044176,4.40886869943308,73.6800510936363,84.6692211493113,37.869482369437,76.8682188942614,29.7647889703676,37.869482369437,44.7576335125771,5.47307816023928,22.744500051654,13.9967559321736,16.7102555919871,18.5483942584292,4.4,1.24,881.91,0.14,0.16,,28,0.03,0.16,-2.2,1.31,,2.739,1.24,1.767,23.26,-0.67,,2255,-0.67,,,,,,-2.20,10.20,0.029,44.91,
1276,4.40614888078331,12.5443747784392,6.88145073388123,15.1006064593213,9.82560520198743,9.88624807909605,2.61701215611822,15.553627494882,11.4563244637875,12.1404019804238,20.5506476934026,0.408088390084106,1.27805940726352,14.097618723612,0.875663598006919,39.7111315828309,9.96886337665547,1.86624526816934,80.6383790990606,27.460810433497,20.99626468598,6.13681822936586,0.115381699976236,74.1568459751974,53.5876332688714,62.2872240869122,53.5598838757479,46.4401161242521,68.00,32.00,,,,29.2461162687134,45.7569448108358,9.7470654022145,15.9993645808051,,,35.1485380663804,10.3821112210864,26.4501324346246,2.47629874887333,4.13073818433396,74.1994720403815,84.8020447415427,37.7273949686151,62.2872240869122,26.4501324346246,37.7273949686151,39.38842432663,4.44302619983911,20.1872154118498,13.7312508696884,15.9985813484869,17.1100804061016,4.41,1,774.9,0.13,0.15,,24,0.03,0.14,-10.82,1.36,,2.646,1.384,1.831,27.04,16.24,,2254,16.24,,,,,,-10.82,-1.97,0.030,44.89,
1277,4.41306096187143,12.5482296666983,9.55359459024399,13.2767093506812,12.1591920090672,11.1363619808946,2.61701215611822,21.6799492313139,10.0410845702489,15.0330219569069,23.181479855831,0.411938379264885,1.36435213983368,14.1328391354449,0.875663598006919,42.3923700591178,10.6419466907027,1.99430139944053,80.8398398547447,27.460810433497,20.2884051606852,6.28411572778593,0.117133235709056,92.1321277453704,53.9941312768387,71.1096480550522,65.683957303721,34.316042696279,71.50,28.50,,,,27.5575603925616,46.8552148351507,11.1451057131285,16.0218656103894,,,34.4562387923277,11.2753683404054,27.2761475909514,2.14022963295481,4.26443203592808,74.7225547397438,84.9350766988259,37.7457339883873,71.1096480550522,27.2761475909514,37.7457339883873,42.059831603991,5.25465398908999,22.6970932837619,15.0822235129579,17.2742321737155,18.9503998625502,4.41,1.18,826.16,0.14,0.16,,26,0.03,0.16,13.26,1.26,,2.54,1.883,1.786,23.28,-13.9,,2253,-13.9,,,,,,13.26,5.35,0.029,44.86,
1278,4.41998388618484,12.5520906022566,12.0771625434898,17.7647357247779,13.5266569687541,9.52618210361666,4.34157479855814,27.5164179888745,13.3931204006582,16.7340139303382,19.857319007941,0.689795226175308,1.38126951408895,13.5270557243657,0.918049834397097,42.9180170449065,10.7739022098938,2.02110736033571,77.3747587433719,28.790042806693,18.6910472444899,6.20806727066315,0.117363575349584,107.209604063248,52.5535140341393,77.6212401026097,61.1855221431953,38.8144778568047,75.00,25.00,,,,23.7471601657851,46.2881872769829,12.1847605532313,16.0444019381321,,,31.8053051234114,11.9411622025996,26.8268573812486,2.81236786479186,4.33004794371495,75.2493250059154,85.0683173480305,38.0260161462336,77.6212401026097,26.8268573812486,38.0260161462336,43.6071040302349,5.03232581155455,20.1808280438114,14.091694949895,17.1031651050147,17.5046442674174,4.42,1.13,855.21,0.13,0.15,0.46,26,0.03,0.14,-13.48,1.23,,2.935,1.584,1.806,27.21,16.85,,2252,16.85,,,,,,-13.48,9.87,0.030,44.84,
1279,4.42691767073369,12.5559575946006,6.88793507388332,13.7305528160991,5.73839884485869,7.8186919388016,1.0841924484543,15.756050399218,10.3189954957202,7.10343990179016,16.3207404596558,0.173857950378894,1.47768066661013,13.1352514456957,0.973417187165274,45.9136492839577,11.525909199559,2.16440330111145,75.1336382693797,30.526362989503,17.4430235715044,6.28501366897651,0.118860936310334,63.9866361378121,52.5130513834187,56.8743581900747,47.4288605358643,52.5711394641357,64.60,35.40,,,,20.7700755447672,46.8619100058344,8.94197992022788,16.0669736194066,,,30.097591245825,9.88884074723027,22.5266350385906,2.600113686317,3.95268779114826,75.779808835071,85.2017670165392,37.9296750332628,56.8743581900747,22.5266350385906,37.9296750332628,36.1945555593326,3.95916793072454,18.8573533468677,13.812674130833,16.2581538595822,16.5921421168894,4.43,0.89,708.72,0.13,0.14,0.58,34,0.03,0.13,-7.65,1.32,,2.885,1.353,1.848,30.14,10.78,,2251,10.78,,,,,,-7.65,-7.75,0.030,44.82,
